asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title,rule
B06ZZG2V8X,BIODERM BIODERMOCOSMETICI,9884,Y,Irritated / Atopic,H,Shampoo,Shampoo per cuoio capelluto sensibile; dermatite seborroica e prurito; dermatite atopica,"Bioderm Shampoo Soft - Sensitive Scalp Shampoo | Anti-Dandruff Treatment, Seborr",
B00S18VH8M,RestivOil,9858,Y,Irritated / Atopic,H,Olio-shampoo,Olio-Shampoo per Cute Sensibile soggetta a irritazione prurito,Restivoil Physiological Sebonormalising Oil Shampoo for Sensitive Scalp and for ,
B00D3HR76M,ISDIN,8897,Y,Irritated / Atopic,H,Shampoo,cuoio capelluto con psoriasi; ridurre il rossore; antiprurito,ISDIN Shampoo Psorisdin Antiforfora | Shampoo per Eliminare le Squame e Ridurre ,
B01D5AP786,VICHY,8511,Y,Irritated / Atopic,H,Shampoo,Shampoo Ultra Lenitivo per cute sensibile e capelli secchi; prurito,"Vichy Dercos Ultra Soothing Shampoo for Sensitive Skin and Dry Hair, Soothing Ac",
B0BPYFBWF4,L'Oréal Professionnel Paris,8476,Y,,M,Shampoo,Shampoo Lenitivo per cuoio capelluto grasso; contro sebo in eccesso; capelli grassi (cosmetic),"L'Oréal Professionnel Paris Soothing Shampoo for Oily Scalp, Against Excess Sebu",
B09GRM5X73,VICHY,8034,Y,Irritated / Atopic,H,Shampoo,Shampoo Anti-squame per cuoio capelluto tendente a psoriasi; anti-prurito; acido salicilico,Vichy Dercos Psolution Anti-Scaling Shampoo for Psoriasis Prone Scalp Tightening,
B07SHQNKFR,Dermovitamina,7827,Y,Irritated / Atopic,H,Shampoo,Prurito Shampoo Lenitivo per cuoio capelluto sensibile; senza solfati,Dermovitamina Itching Soothing Shampoo - For Sensitive and Delicate Scalp - Gent,
B075WGFSFN,Bionike,7772,Y,Irritated / Atopic,H,Shampoo,Shampoo Dermolenitivo per cute sensibile e irritabile; sollievo prurito,"Bionike Defence Hair Dermolenitive Shampoo for Sensitive and Irritable Skin, Pro",
B08KFV2R9M,Bionike,6408,Y,Irritated / Atopic,H,Olio shampoo,Olio Shampoo Extra Delicato per cute sensibile; lenisce prurito e irritazione,"BBionike Defence Hair - Extra Gentle Shampoo Oil Frequent Washes, for Sensitive ",
B071214XGC,Ducray,6250,Y,Irritated / Atopic,H,Shampoo,Shampoo trattante dermatite seborroica; lenisce irritazioni del cuoio capelluto,Ducray Kelual Ds Seborrheic Dermatitis Treatment Shampoo – 200 ml (2 x 100 ml),
B091PVWK7X,Neutrogena,6233,Y,Irritated / Atopic,H,Shampoo,Prurito al Cuoio Capelluto; cute secca; formula senza alcol e non irritante; delicato uso frequente,"Neutrogena T/Gel Anti-Dandruff Shampoo with Scalp, Men's Shampoo for Hair and Dr",
B0CH8K9NMR,Wella Professionals,6214,Y,Irritated / Atopic,H,Shampoo,Per chi ha la cute secca e irritata; senza profumazione; lenire la cute sensibile,Wella Professionals Invigo Scalp Balance Deep Cleansing Shampoo for Revitalized ,
B0090Y79SS,Eucerin,6093,Y,Irritated / Atopic,H,Shampoo,cute sensibile e secca; dona sollievo dal prurito; dermatite o psoriasi,"Eucerin DermoCapillaire Urea Soothing Shampoo 250 ml, Shampoo for Dry Hair, Scal",
B076DCG81D,Bionike,5856,Y,Irritated / Atopic,H,Shampoo,Shampoo Dermolenitivo per Cute Sensibile e Irritabile; lenisce; sollievo da irritazione e prurito,"Bionike Defence Hair Dermolenitive Shampoo for Sensitive and Irritable Skin, Pro",
B0CRYYK89T,Head & Shoulders,5739,Y,Irritated / Atopic,M,Shampoo antiforfora/antiprurito,Shampoo Antiforfora Antiprurito; per tutti i tipi di cute,"Head & Shoulders Anti-itching Dandruff Shampoo 250 ml for Daily Use, Up to 100% ",
B0GN4B3NMC,EG,5327,Y,Irritated / Atopic,H,Shampoo,cute secca e sensibile; azione lenitiva e idratante; sollievo da prurito,EG Nizoral Care Dry and Sensitive Skin Shampoo | Soothing and Moisturising Actio,
B0849VSLYK,Uriage,5269,Y,Irritated / Atopic,H,Shampoo (gel),delicato sul cuoio capelluto sensibile; lenitiva; ideale per tutta la famiglia,Uriage Ds Hair Daily Rebalancing Shampoo with Edelweiss – Gentle Foaming Gel – F,
B0CH8KW2WR,Wella Professionals,4836,Y,Irritated / Atopic,H,Shampoo,Cute detersa e lenita; sollievo cutaneo; formula emolliente; pelle sensibile (reviews),"Wella Professionals Invigo Scalp Balance Anti-Dandruff Shampoo - Skin Relief, 30",
B01D5AP88A,VICHY,4479,Y,Irritated / Atopic,H,Shampoo,Shampoo Ultra Lenitivo; prurito e arrossamenti ridotti; texture gel,"Vichy Dercos Ultra Soothing Shampoo for All Hair Types, Soothing Action, Scalp I",
B0C4YJSRHM,FAITH IN NATURE,4392,Y,,M,Shampoo,Stimolante per capelli e cuoio capelluto normali; al rosmarino; anti-dandruff only=no (cosmetic),"Faith In Nature Natural Rosemary Stimulating Shampoo for Normal Hair and Scalp, ",revert-false-positive
B0090Y7D8E,Eucerin,3976,Y,Irritated / Atopic,H,Shampoo-gel,shampoo cute sensibile; lenisce le infiammazioni e riduce il prurito; dermatite seborroica,"Eucerin DermoCapillaire Anti-Dandruff Shampoo Gel 250 ml, Anti-Dandruff Shampoo ",
B00ESCS7R4,Eucerin,3713,Y,Irritated / Atopic,H,Shampoo,Shampoo per cute e cuoio capelluto sensibile; preserva da irritazioni; ipersensibile,Eucerin Ph5,
B08GM7SJKR,KOURILES,3525,Y,Irritated / Atopic,H,Shampoo antiforfora delicato,Dermatiti Seborroiche; Irritazioni del Cuoio Capelluto; Crosta Lattea Neonatale,"Kouriles® Gentle Anti-Dandruff Shampoo for Seborrheic Dermatitis, Scalp Irritati",
B015RK0LUG,Dermovitamina,3224,Y,Irritated / Atopic,H,Shampoo,dermatite seborroica; azione lenitiva; sensazione di prurito; bisabololo,Dermovitamina Calmilene AF Block - Anti-Dandruff Shampoo - Oily Hair Shampoo - C,
B08DGB8TX2,BIODERM BIODERMOCOSMETICI,2881,Y,Irritated / Atopic,H,Shampoo,detergente delicato per cuoio capelluto sensibile; lenitivo anti-prurito; uso quotidiano,Bioderm Soft Shampoo 1000 ml – Gentle Cleanser for Sensitive Scalp and Depleted ,
B0BPYF46LP,L'Oréal Professionnel Paris,2683,Y,Irritated / Atopic,H,Shampoo,Shampoo Lenitivo Per Cuoio Capelluto Sensibile; calma prurito e bruciore; approvato dai dermatologi,"L'Oréal Professionnel, Shampoo Professionale Lenitivo, Per Cuoio Capelluto Sensi",
B01N5O3T8B,Euphidra,2598,Y,Irritated / Atopic,H,Shampoo (olio-shampoo),azione antiprurito; pelle sensibile; tendenza a dermatite atopica,"Euphidra - AmidoMio Oil Shampoo with Rice Oil, Restructuring and Antipruritic Ac",
B0BVKDTBDL,Uriage,2472,Y,Irritated / Atopic,M,Shampoo,cuoio capelluto purificato e prurito lenito; azione lenitiva; stessa linea DS Hair sensibile,Uriage DS Hair Anti-Dandruff Shampoo 200ml,
B07FF3D7YB,Garnier,2402,Y,Irritated / Atopic,M,Shampoo,capelli delicati e cuoio capelluto sensibile; lenisce e riduce prurito; tutta la famiglia,"Garnier Ultra Sweet Oat Gentle Shampoo, 300 ml",
B09FFKMT7W,FARMODERM,2323,Y,Irritated / Atopic,H,Shampoo,cuoio capelluto sensibile; dermatite seborroica e prurito,"Bioderm Shampoo Soft - Sensitive Scalp Shampoo | Anti-Dandruff Treatment, Seborr",
B0D86YN54G,Sphagnum Botanicals,2259,Y,Irritated / Atopic,H,Shampoo,Shampoo per Psoriasi; lenire il prurito; dermatite seborroica eczema,Sphagnum Botanicals Shampoo for Psoriasis Scalp with Salicylic Acid - Formulated,
B0CC2TVMP2,PHARCOS,2163,Y,Irritated / Atopic,H,Shampoo,shampoo dermatite seborroica; azione lenitiva del cuoio capelluto,PHARCOS® Deltacrin DS 125 ml - Cosmetic Adjuvant Shampoo Seborrheic Dermatitis w,
B0CSPKJN7D,Head & Shoulders,2143,Y,Irritated / Atopic,H,Shampoo,cute secca con prurito; azione lenitiva; rafforza la barriera della pelle,"Head & Shoulders Dermaxpro Anti-Dandruff Shampoo for Dry Scalp with Itchy Skin, ",
B08YFKJ3PZ,Licofarma,2112,Y,Irritated / Atopic,H,Shampoo,Psoriasi e Dermatite Atopica del Cuoio Capelluto; lenire prurito rossore,Xoriderm Gentle Shampoo Useful in the Presence of Psoriasis and Scalp Dermatitis,
B075TWS319,Mustela,2037,Y,Irritated / Atopic,H,Shampoo (mousse),pelle a tendenza atopica; riduce rossore e prurito; ipoallergenico,Mustela Stelatopia Shampoo Mousse for Scalp with Extreme Dryness or Atopic Derma,
B0FBJKMG6X,TIS farmaceutic,1730,Y,Irritated / Atopic,H,Shampoo (kit 2 shampoo),psoriasi & dermatite seborroica; lenisce l'irritazione; ipoallergenico,Complete Scalp Care Kit: Urea Shampoo 10% for Psoriasis & Seborrheic Dermatitis ,
B0019YN81E,Urtekram,1707,Y,Irritated / Atopic,H,Shampoo,Shampoo Per Cuoio Capelluto Irritato; lenisce; dermatite; prurito; psoriasi,"Urtekram Organic Tea Tree Shampoo for Irritated Scalp, 560 g",
B01B4Z8HUO,MOST,1685,Y,Irritated / Atopic,H,Shampoo,Cuoio capelluto irritato; dermatite seborroica; con ittiolo; psoriasi; sollievo prurito; ipoallergenico,"MOST - Dermictiol Moisturizing Shampoo Irritated Scalp, Seborrheic Dermatitis an",
B01BI4YPBQ,Unifarco,1197,N,,M,Shampoodoccia (corpo+capelli),detergente corpo e capelli; shampoodoccia; uso frequente,Unifarco Ceramol Shampoo Shower 200ml,
B0090Y7C1M,Eucerin,1104,Y,Irritated / Atopic,H,Shampoo,cuoio capelluto sensibili e irritati; per tutta la famiglia; senza profumo,"Eucerin DermoCapillaire Extra Tolerability Shampoo 250 ml, Shampoo for Sensitive",
B08P4D38B1,DERMASENCE,1035,Y,Irritated / Atopic,H,Shampoo,cute secca irritata; dermatite atopica o psoriasi; lenitivo,"DERMASENCE Polaneth Shampoo 200 ml, Moisturizing Shampoo for Dry, Very Dry and P",
B0CH8K7R2R,Wella Professionals,1027,Y,Irritated / Atopic,H,Shampoo,Sensitive Scalp Shampoo per cute secca; lenisce cuoio capelluto sensibile; senza profumo,Wella Professionals INVIGO SCALP BALANCE Sensitive Scalp Shampoo - per cute secc,
