asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B017TFCRHC,Aveeno,25598,Y,Irritated / Atopic,H,shampoo,relieves itchy sensations related to a very dry and sensitive scalp; soothing oat,"Aveeno Skin Relief Soothing Shampoo, With Soothing Oat, Suitable For very dry se"
B009P0V9UQ,Eucerin,24753,Y,Irritated / Atopic,H,shampoo,DermoCapillaire Calming Urea Shampoo; Psoriasis and Dermatitis Shampoo for Dry; Itchy Scalp; Fragrance-Free; with Urea,"Eucerin DermoCapillaire Calming Urea Shampoo 250ml, Psoriasis and Dermatitis Sha"
B0GLQ3K3B2,Kopa Haiku,21993,Y,Irritated / Atopic,H,shampoo,Seborrheic Dermatitis & Psoriasis Scalp Shampoo; for sensitive & flake-prone scalps; itchy; redness-prone,"Seborrheic Dermatitis & Psoriasis Scalp Shampoo: Folliculitis Shampoo, Anti-Dand"
B0CW9YBY2T,Nizoral,21833,Y,Irritated / Atopic,H,shampoo,Scalp Soothing Itchy & Sensitive Shampoo; relief for Dry; Itchy and Flaky Scalps,"Nizoral Scalp Soothing Itchy & Sensitive Shampoo, 24 Hour Soothing Care, Ongoing"
B0BQTX44S5,Aveeno,20895,Y,Irritated / Atopic,H,shampoo,Soothes Dry; Itchy & Flaky Scalp; suitable for sensitive and dry scalps,"Aveeno Scalp Soothing Haircare Colour Protect Shampoo, Blackberry & Quinoa Blend"
B00NJRTVFG,MooGoo,19883,Y,Irritated / Atopic,H,shampoo,Milk Shampoo for Itchy; Dry; Sensitive Scalps Prone to Eczema & Psoriasis; gentle soothes dry; itchy scalps,"MooGoo Milk Shampoo - For Itchy, Dry, Sensitive Scalps Prone to Eczema & Psorias"
B001EASOJY,Oilatum,19624,Y,Irritated / Atopic,H,shampoo,Soothing Scalp Shampoo for itchy; flaking scalps; soothes itchy scalps; for dandruff & other dry skin conditions; eczema-prone,"Oilatum Soothing Scalp Shampoo, For Itchy, Flaking Scalps Caused by Dandruff, So"
B0DVCFK9C5,Head & Shoulders,18623,Y,Irritated / Atopic,H,shampoo,Cooling Itch Rescue Anti-Dandruff Shampoo; rescue from itchiness; soothed scalp; selenium sulphide,Head & Shoulders Cooling Itch Rescue 400ml Selenium Sulphide Anti-Dandruff Shamp
B0G3X3837T,Dove,17966,Y,,H,shampoo,Density & Growth shampoo; helps strengthen the scalp barrier; up to 90% less hair fall (cosmetic density/anti-hair-fall; no sensitive/irritated/atopic framing),Dove scalp + hair therapy Density & Growth¹ Shampoo hair care with Amino Complex
B0BQSZ1LZM,Aveeno,15218,Y,Irritated / Atopic,H,shampoo,Soothes Dry; Itchy & Flaky Scalp; suitable for sensitive and dry scalps,"Aveeno Scalp Soothing Haircare Volumising Shampoo, Fresh Green Blend, with Collo"
B08S8DKWWP,Neutrogena,14461,Y,Irritated / Atopic,H,shampoo,anti-dandruff for sensitive scalp; fragrance-free; relieves dry; tight and irritated scalps,"Neutrogena T/Gel Anti Dandruff Shampoo for Sensitive Scalp (1x 150ml), Daily Ant"
B01HYOB0LC,KÉRASTASE,13106,Y,Irritated / Atopic,H,shampoo,Cleansing & Rebalancing Shampoo For Sensitive Scalps ... calms scalp inflammation and moisturises,"Kérastase Specifique, Cleansing & Rebalancing Shampoo, For Sensitive Scalps & Co"
B0D5SJBMVT,Nizoral,10183,Y,Irritated / Atopic,H,shampoo,Scalp Soothing Dry and Eczema Prone Shampoo; relieves dry; itchy & flaky scalps; non-irritating,"Nizoral Scalp Soothing Dry and Eczema Prone Shampoo, 24 Hour Soothing Care, Ongo"
B0DT2M4YSY,Philip Kingsley,9937,Y,Irritated / Atopic,H,shampoo,Flaky/Itchy Scalp Shampoo ... Soothes and Calms the Scalp; Anti-Dandruff,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, I"
B0BXPVDDRF,Philip Kingsley,9821,N,,H,shampoo & conditioner set,Flaky/Itchy Scalp Shampoo and Conditioner Set,Philip Kingsley | Flaky/Itchy Scalp Shampoo and Conditioner Set | Anti-Dandruff 
B0DQLB23B8,Batiste,9820,N,,H,dry shampoo,Sensitive Scalp Lightly Scented Dry Shampoo; No Rinse Shampoo Hair Spray; aerosol,"Batiste Sensitive Scalp Lightly Scented Dry Shampoo, Dermatologically Tested, Ki"
B0D1Y75D35,Head & Shoulders,9789,Y,Irritated / Atopic,H,shampoo,Sensitive Care Anti Dandruff Shampoo ... Moisturises Dry Scalp and Helps Reinforce the Skin Barrier,Head & Shoulders DermaXPro Sensitive Care Anti Dandruff Shampoo 300ml with Manuk
B01BPHAD1W,VICHY,9121,Y,Irritated / Atopic,H,shampoo,anti-dandruff for sensitive dry hair & scalp; soothes dry scalp; soothing itching and discomfort,"Vichy Dercos Technique Anti-Dandruff Purifying Shampoo, With 1% Salicylic Acid &"
B000GI3UGW,Philip Kingsley,9069,Y,Irritated / Atopic,H,shampoo,Flaky/Itchy Scalp Anti-Dandruff Shampoo; soothes and calms; clears irritation and flaking,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, I"
B01LWNR8HZ,Philip Kingsley,8796,Y,Irritated / Atopic,H,shampoo,Flaky/Itchy Scalp anti-dandruff shampoo; calms the scalp; clears irritation and flaking,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, I"
B074DWRGLK,Dermz,8314,Y,Irritated / Atopic,H,shampoo,Psoriasis Treatment. Helps with Eczema; Dermatitis & Itchy Dry Scalp,Healpsorin Psoriasis Anti Dandruff Shampoo. Flaky Scalp Psoriasis Treatment. Hel
B09QQT41TP,,8068,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Dermatological Shampoo for Itchy Scalp; soothes & purifies; reduces itchiness,Vichy Dercos Anti-Dandruff Dermatological Shampoo for Normal to Oily Hair & Itch
B097CKD7N9,Vosene,7877,Y,Irritated / Atopic,H,shampoo,Anti-dandruff shampoo; reduces dandruff and scalp itch; dermatologist tested; relieves itching,"Vosene Anti-dandruff shampoo 300ml, reduces dandruff and scalp itch; suitable fo"
B07P547Z3F,Botanic Hearth,7386,N,,H,shampoo & conditioner set,Tea Tree Shampoo & Conditioner Set ... Helps Relieve Dry; Itchy Scalp,"Botanic Hearth Tea Tree Shampoo & Conditioner Set, 16 Fl Oz (473 ml) Each | With"
B0FV8KHQJ2,Swiftalyn,7017,Y,Irritated / Atopic,H,shampoo,Seborrheic Dermatitis & Folliculitis Scalp Shampoo; soothes itchy; flaky scalp; dandruff; psoriasis; calms irritation,Seborrheic Dermatitis & Folliculitis Scalp Shampoo: For Scalp Prone to Dandruff 
B0G3X1LSJQ,Dove,6948,Y,Irritated / Atopic,M,shampoo,Soothing Hydration Shampoo; ideal for dry scalp; helps repair a damaged scalp barrier (soothing/dry-scalp/barrier; no anti-dandruff claim),Dove Scalp + Hair Therapy Soothing Hydration Shampoo hair care with Hyaluron-Com
B01M5HM4RV,Philip Kingsley,6883,Y,Irritated / Atopic,H,shampoo,Flaky/Itchy Scalp Anti-Dandruff Shampoo; soothes and calms; clears irritation and flaking (1000ml),"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, I"
B0FYJ1M8JH,Head & Shoulders,6673,Y,Irritated / Atopic,H,shampoo,Pure Hydration Anti Dandruff Shampoo ... for Dry and Delicate Scalp ... helps to restore scalp barrier,Head & Shoulders DermaXPro Pure Hydration Anti Dandruff Shampoo 300ml for Dry an
B0DQL9D819,Batiste,6421,N,,H,dry shampoo,Sensitive Scalp Fragrance Free Dry Shampoo; No Rinse Shampoo Hair Spray; aerosol,"Batiste Sensitive Scalp Fragance Free Dry Shampoo, Dermatologically Tested, Kind"
B0BQMYDXDH,L'Oréal Professionnel Paris,6122,Y,Irritated / Atopic,H,shampoo,Anti-Discomfort Shampoo for Itchy and Dry Scalps; designed for sensitive scalps; soothing and calming,"L’Oréal Professionnel Scalp Advanced Anti-Discomfort Shampoo, For Itchy and Dry "
B000OEVO02,Green People,5105,Y,Irritated / Atopic,H,shampoo,For Sensitive Scalps; Hypoallergenic ... soothing; non-irritating cleanse ... prone to eczema and psoriasis,"Green People Fragrance Free Shampoo - For Sensitive Scalps, Hypoallergenic - Gre"
B0DYF7YRN2,Roycederm,5093,N,,H,shampoo & conditioner set,Shampoo and Conditioner Set - Effective Scalp Treatment (mixed set; not pure shampoo),Roycederm Seborrheic Dermatitis & Psoriasis Shampoo and Conditioner Set - Effect
B008BILQQ0,FAITH IN NATURE,4521,Y,Irritated / Atopic,H,shampoo,Fragrance Free Shampoo; Sensitive ... ideal for those with sensitive scalp,"Faith In Nature Natural Fragrance Free Shampoo, Sensitive, Vegan & Cruelty Free,"
B0BL3ZG1WZ,Sea Magik,4122,Y,Irritated / Atopic,H,shampoo,Shampoo to Soothe Itchy Scalp; Psoriasis; and Eczema; for dry; itchy or sensitive scalps,"Sea Magik - Seaweed Shampoo to Soothe Itchy Scalp, Psoriasis, and Eczema, with H"
B094PY38BL,Little Soap Company,3573,Y,Irritated / Atopic,H,shampoo bar,Gentle on Sensitive Skin & Scalps; Perfect for delicate or irritated scalp care,"Eco Warrior Sensitive Shampoo Bar, 100g | Natural, Vegan, Cruelty Free, Eco Frie"
B0GF2878TD,Recuren Plus,3506,Y,Irritated / Atopic,H,shampoo,Seborrheic Dermatitis Folliculitis Acne Shampoo: Psoriasis Treatment; Dry Scalp & Flake Control,Seborrheic Dermatitis Folliculitis Acne Shampoo: Psoriasis Treatment & Scalp Ant
B07DJK7R2B,Australian Bodycare,3496,N,,H,serum,Scalp Treatment/Serum leave-in (categorized Hair Serums); not a rinse-off shampoo,"Scalp Treatment Products from Australian Bodycare for Dry, Itchy, Flaky Scalp & "
B09GG99BX3,Urtekram,3327,Y,Irritated / Atopic,H,shampoo,Fragrance Free Sensitive Scalp Shampoo ... Specially designed for people with sensitive or atopic skin,Urtekram - Urtekram Fragrance Free Sensitive Scalp Shampoo - 500ml
B00CRCVS78,Milva,3185,Y,Irritated / Atopic,H,shampoo,Pine Tar Shampoo for Seborrheic Dermatitis; Psoriasis Shampoo; Dry Itchy & Flaky Scalp,Milva Pine Tar Shampoo for Seborrheic Dermatitis - 200ml Natural Dandruff Shampo
B01J61052G,XHC,3111,Y,Irritated / Atopic,H,shampoo,Medicated Shampoo Treatment for Dandruff Psoriasis Dry Itchy Scalp,Xpel Medicated Shampoo Treatment for Dandruff Psoriasis Dry Itchy Scalp (3 x 300
B0GV2VYK3J,WUHPOY,3031,Y,Irritated / Atopic,H,shampoo,soothes itchy scalp and flaking; irritation caused by folliculitis; seborrhoeic dermatitis and psoriasis,Psoriasis & Folliculitis Scalp Treatment Shampoo: Seborrheic Dermatitis Shampoo，
B0849VSLYK,Uriage,2720,Y,Irritated / Atopic,H,shampoo,Suitable for Sensitive & Irritated Scalps; soothing Uriage Thermal Water; Piroctone Olamine,Uriage DS Hair Soft Shampoo with Edelweiss 500ml - Deeply Purifies & Soothes - L
B0FXLW2QQW,Head & Shoulders,2398,N,,H,shampoo+conditioner 2in1,Itchy Scalp 2in1 Anti-Dandruff Shampoo and Conditioner (combined shampoo+conditioner; category 2-in-1 Shampoo & Conditioner),Head & Shoulders Itchy Scalp 2in1 Anti-Dandruff Shampoo and Conditioner 625ml.Wo
B0DJT5BSJ1,Head & Shoulders,2331,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Intense Itch Rescue; fights the causes of itching; relieves scalp,Head & Shoulders Anti-Dandruff Shampoo Pro-Expert 7 Intense Itch Rescue 300ml. F
B0F4KJND75,SHVYOG,2269,Y,Irritated / Atopic,H,shampoo,Antifungal Shampoo for Seborrheic Dermatitis; Folliculitis; Scalp Psoriasis; relieves scalp itching and redness; sensitive scalp,"Folliculitis Shampoo, Antidandruff Shampoo, Reduces Dandruff, Relieves Scalp Itc"
B009USALZM,,2150,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Shampoo for Sensitive Scalp; gentle scalp exfoliation on dandruff-prone hair,"Vichy Dercos Anti-Dandruff Shampoo for Sensitive Scalp With Piroctone Olamine, S"
B0CN9PWH5Q,Wella Professionals,1971,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff - Gentle Soothing Shampoo - Dry Flaky; Scalp Shampoo For Sensitive Scalps - Fragrance Free,Wella Professionals Invigo Scalp Balance Anti-Dandruff - Gentle Soothing Shampoo
B0043OYFJQ,Head & Shoulders,1965,Y,Irritated / Atopic,H,shampoo,Itchy Scalp Care Anti-Dandruff; relieves scalp itch; dry scalp and scalp irritation; hypoallergenic,Head & Shoulders Itchy Scalp Care with Eucalyptus Anti-Dandruff Shampoo 13.5 Fl 
B001HZARSC,A.Vogel,1914,Y,Irritated / Atopic,H,shampoo,relieves itchy; dry & irritated scalps; soothing action for dry; irritated and sensitive scalps,"A.Vogel Neem Shampoo – Relieves Itchy, Dry & Irritated Scalps – Enriched with Ne"
B0CGRRDVZD,Wella Professionals,1783,Y,Irritated / Atopic,H,shampoo,Sensitive Scalp - Gentle Cleansing Shampoo - Dry Scalp Shampoo For Sensitive Scalps - Fragrance Free,Wella Professionals INVIGO SCALP BALANCE Sensitive Scalp - Gentle Cleansing Sham
B0BQZ1QGYD,KinKind,1437,Y,Irritated / Atopic,H,shampoo bar,Fragrance Free Dry Scalp Shampoo for Eczema; Itchy Scalp; Psoriasis & Folliculitis; sensitive scalp,KinKind Fragrance Free Natural Shampoo Bar. Be KIND! Dry Scalp Shampoo. Ideal Un
B08T1LP7KH,Australian Bodycare,1414,Y,Irritated / Atopic,H,shampoo,anti dandruff for itchy; flaky; dry scalp; psoriasis & eczema care; calms dry irritated skin,"Shampoo 500 ml Mint With 4-Terpineol, Known from Tea Tree Oil – Anti Dandruff - "
B07H1WKQYF,Dermz,1360,N,,H,bundle,1x Medicated Shampoo + 2x Cream bundle (shampoo + psoriasis/eczema cream),Medicated Shampoo Bundle with 2X Cream for Psoriasis & Eczema - Treatment for It
B0BTF6BKH7,ICAN LONDON,1227,N,,H,shampoo & conditioner set,Anti Dandruff; Itch Relief Shampoo & conditioner Sets 500ml x 2,"ican London Aloe Vera Anti Dandruff, Itch Relief Shampoo & sulfate free Hydratin"
